Rank,Player,Playing Since,Points as of,Points as of,Points / Day,Last Week,Puzzles Solved,Switches,Puzzles Solved 10 or less solvers,Puzzles Solved 3 or less solvers,Puzzles Created,Puzzles Created But Not Solved,Puzzles Created 10 or less solvers,Puzzles Created 3 or less solvers,Puzzles Created with 0 solvers,Small and Easy left,Special Knowledge left,Spores left,Bugs left,Spugs left,Basic Shapes left,Small Switches left,Switched left,Minibits left,Mirrors left,RSOD left,Tricksters left,Puzzlets left,Chain Letters left,Small Shape left,Fun and Easy left,Boost Me left,Structural Representation left
66,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=45128"";""joeHope"")",15 Jul 2012,547691,547691,550,0,2508,92,6,0,0,0,0,0,0,30,12,8,76,17,10,29,100,39,105,50,38,51,45,32,37,69,160
67,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=55985"";""Fullsail"")",15 Nov 2012,539937,539937,619,0,2520,111,6,0,0,0,0,0,0,31,14,5,69,17,10,28,100,18,107,50,35,51,45,32,37,58,160
68,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=56885"";""naprat"")",15 Nov 2012,538449,538449,618,0,2492,58,4,0,68,0,0,0,0,31,3,13,84,17,10,29,97,39,109,50,38,51,45,32,37,70,160
69,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=35741"";""Max Goff"")",05 Jan 2012,533385,530285,449,3100,2601,76,1,0,49,7,0,0,0,31,15,12,84,17,10,29,100,35,109,50,38,51,45,32,37,68,160
70,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=28505"";""akros"")",20 Sep 2011,533045,533045,412,0,1985,0,0,0,15,0,0,0,0,30,15,18,83,17,10,31,100,39,109,50,38,51,45,32,37,70,160
71,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=136015"";""IconMaster"")",03 Feb 2014,524279,524279,1230,0,2123,46,1,0,0,0,0,0,0,30,15,18,85,17,10,31,100,37,109,50,38,51,45,31,37,68,160
72,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=79703"";""faf13"")",12 Mar 2013,521439,521439,691,0,1835,54,0,0,1,1,0,0,0,32,15,18,85,17,10,30,100,39,109,50,38,51,43,32,37,69,160
73,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=63353"";""along"")",27 Nov 2012,520139,520139,605,0,2270,60,0,0,17,0,0,0,0,31,15,14,85,17,10,30,99,39,109,50,38,51,45,32,37,70,159
74,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=45213"";""Dr. Drax"")",16 Jul 2012,519605,519605,523,0,2254,7,1,0,2,0,0,0,0,28,15,4,59,17,10,31,100,39,109,50,38,51,45,32,37,70,160
75,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=77611"";""Gres"")",04 Mar 2013,517935,517935,679,0,2368,91,0,0,0,0,0,0,0,31,14,14,84,17,10,26,97,37,107,49,38,51,45,32,37,69,160
76,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=166246"";""joviava"")",07 Jul 2014,515385,515385,1894,0,2335,949,100,14,96,59,47,13,1,33,14,2,13,17,10,20,27,38,75,49,38,50,29,31,33,63,24
77,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=174435"";""Helen Troy"")",14 Aug 2014,514485,514485,2198,0,2475,9,0,0,0,0,0,0,0,30,15,17,85,17,10,31,100,32,109,50,38,51,43,32,37,70,159
78,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=337"";""Chesterfield"")",30 Nov 2010,512032,512032,322,0,575,0,0,0,3,3,0,0,0,33,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
79,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=98124"";""steven123505"")",24 May 2013,504299,504199,740,100,2001,62,2,0,75,23,0,0,0,30,14,7,69,17,10,30,100,26,108,50,38,51,45,32,37,68,160
80,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=49507"";""ElNando888"")",28 Aug 2012,493827,493827,519,0,920,330,101,35,275,250,95,35,18,30,15,19,85,17,10,28,100,39,105,49,38,51,45,31,37,68,160
81,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=58861"";""Cangleska"")",16 Nov 2012,493135,493135,566,0,2283,60,2,0,0,0,0,0,0,28,15,8,73,17,10,31,100,39,107,50,38,51,45,32,37,70,160
82,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=21417"";""hurshy"")",15 Feb 2011,491525,491525,325,0,1980,0,1,0,1,0,0,0,0,29,13,8,61,17,10,31,100,39,109,50,38,51,45,32,37,70,160
83,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=79043"";""Matt Indykiewicz"")",10 Mar 2013,490085,490085,648,0,1989,55,28,4,44,27,15,3,0,32,15,18,83,17,10,31,100,34,109,50,35,51,45,32,37,68,159
84,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=62896"";""limadog"")",25 Nov 2012,489665,489665,568,0,2245,51,0,0,0,0,0,0,0,30,15,12,81,17,10,30,100,39,109,50,38,51,45,32,37,69,160
85,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=40562"";""ribonucleic"")",27 Jun 2012,487519,487519,481,0,1571,109,23,5,244,174,20,4,1,31,15,19,85,17,10,30,100,39,106,50,38,51,45,32,37,70,160
86,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=2346"";""pdub93"")",11 Jan 2011,484564,484564,313,0,1934,213,0,0,6,0,0,0,0,31,15,18,85,17,10,28,92,39,106,50,38,51,41,32,37,66,160
87,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=151485"";""ramannoodles20"")",30 Apr 2014,481777,481777,1416,0,2062,29,0,0,8,3,0,0,0,31,15,17,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
88,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=7889"";""JerryP70"")",14 Jan 2011,481010,481010,311,0,1070,0,0,0,4,1,0,0,0,32,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
89,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=22120"";""Joshua Weitzman"")",19 Feb 2011,478531,478531,317,0,1087,0,0,0,30,8,0,0,0,32,15,19,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
90,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=51350"";""Billy Reuben"")",05 Sep 2012,477023,477023,506,0,1420,110,0,0,9,0,0,0,0,31,15,19,85,17,10,26,97,38,105,50,38,51,45,32,37,66,160
91,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=92666"";""redsoxwy"")",05 May 2013,476339,476339,680,0,1391,54,3,0,32,6,0,0,0,33,15,18,85,17,10,31,84,35,109,50,38,51,45,32,37,62,160
92,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=23992"";""Tatyana Zabanova"")",21 Mar 2011,475575,475575,322,0,2017,78,0,0,1,0,0,0,0,31,15,17,85,17,10,30,99,39,107,50,38,51,45,32,37,70,160
93,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=34148"";""jboanmit"")",03 Dec 2011,474235,474235,389,0,2039,0,4,0,93,82,1,0,0,29,12,2,37,17,10,31,100,39,109,50,38,51,45,31,37,70,160
94,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=59443"";""Knightstar"")",17 Nov 2012,472631,472631,543,0,2016,45,0,0,1,0,0,0,0,32,15,16,83,17,10,28,100,39,108,50,38,51,45,32,37,69,160
95,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=24578"";""clollin"")",12 Apr 2011,469425,465425,322,4000,1365,18,1,0,25,1,0,0,0,31,15,4,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
96,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=21937"";""Homebrew"")",18 Feb 2011,468445,468445,310,0,1554,0,0,0,2,1,0,0,0,28,14,14,85,17,10,31,100,39,109,50,38,51,45,32,37,70,160
97,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=48602"";""carlini"")",16 Aug 2012,467005,467005,485,0,2011,35,1,0,1,0,0,0,0,31,15,19,69,17,10,30,100,37,109,50,38,51,45,31,37,69,160
98,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=155982"";""ghastly5"")",19 May 2014,465235,464135,1449,1100,1872,53,0,0,7,4,0,0,0,33,15,18,85,17,10,30,100,39,109,50,38,51,45,32,37,70,158
99,"=hyperlink(""http://eterna.cmu.edu/eterna_page.php?page=player&uid=67221"";""randl"")",01 Jan 2013,465053,465053,564,0,1605,38,0,0,0,0,0,0,0,33,15,15,85,17,10,27,100,39,106,50,38,51,45,32,37,67,160
